favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
54702,Twitter for iPhone,"....putting these massive, and many, fires out. Great firefighters! Also, open up the ridiculously closed water lanes coming down from the North. Don’t pour it out into the Pacific Ocean. Should be done immediately. California desperately needs water, and you can have it now!",realDonaldTrump,False,Sun Nov 03 14:12:00 +0000 2019,13747,1190995042107887616
75687,Twitter for iPhone,“Democrats committed to impeaching Trump for no reason.” Will backfire into big 2020 Victory for Republicans! @IngrahamAngle,,False,Tue Nov 26 04:16:44 +0000 2019,15770,1199180160773345283
129925,Twitter for iPhone,95% Approval Rating in the Republican Party. Thank you!,,False,Mon Nov 04 12:58:31 +0000 2019,21072,1191338937387757568
94340,Twitter for iPhone,"False stories are being reported that a few Republican Senators are saying that President Trump may have done a quid pro quo, but it doesn’t matter, there is nothing wrong with that, it is not an impeachable event. Perhaps so, but read the transcript, there is no quid pro quo!",,False,Mon Nov 04 00:59:45 +0000 2019,20994,1191158055397969920
69741,Twitter for iPhone,“Congressman Van Drew (D-NJ) SLAMS Democrats for ‘fracturing the Nation’ with Impeachment probe. ‘We already know how it’s going to end.” @FoxNews,,False,Mon Nov 18 16:06:19 +0000 2019,18261,1196459630060359686
65738,Twitter for iPhone,"“All they do is bring up witnesses who didn’t witness anything.” @KatrinaPierson @SteveHiltonx  Nothing matters except the two transcripts of the presidential calls, and the statement of no pressure put out by Ukraine!",,False,Mon Nov 18 03:39:38 +0000 2019,16880,1196271720392511489
120235,Twitter for iPhone,"Everywhere Marie Yovanovitch went turned bad. She started off in Somalia, how did that go? Then fast forward to Ukraine, where the new Ukrainian President spoke unfavorably about her in my second phone call with him. It is a U.S. President’s absolute right to appoint ambassadors.",,False,Fri Nov 15 15:01:40 +0000 2019,31310,1195356198347956224
68528,Twitter for iPhone,"“The Democrats dirty tricks have started this whole thing. The Whistleblower, the guy who took his case to Schiff’s staff first, is what really blows the lid off this entire saga. He worked for Biden on Ukraine policy when Biden was VP. He worked for deep state henchman John",,False,Sat Nov 23 17:05:44 +0000 2019,19489,1198286523583606784
77394,Twitter for iPhone,“President Trump is facing a process which is unprecedented for its unfairness.” Sam Dewey,,False,Mon Nov 25 12:25:16 +0000 2019,15845,1198940713955844097
47004,Twitter for iPhone,A great place! https://t.co/4RfSNw3RZf,,False,Fri Nov 01 02:00:07 +0000 2019,9534,1190086080952967171
108466,Twitter for iPhone,"Nancy Pelosi will go down as the least productive Speaker of the House in history. She is dominated by AOC Plus 3 and the Radical Left. Mexico and Canada, after waiting for 6 months to be approved, are ready to flee - and who can blame them? Too bad!",,False,Wed Nov 20 13:29:26 +0000 2019,27499,1197144925034418176
37057,Twitter for iPhone,Don’t miss this show! https://t.co/EhY8CNAUqP,,False,Mon Nov 04 01:08:27 +0000 2019,9113,1191160243784433665
90069,Twitter for iPhone,What I said on the phone call with the Ukrainian President is “perfectly” stated. There is no reason to call witnesses to analyze my words and meaning. This is just another Democrat Hoax that I have had to live with from the day I got elected (and before!). Disgraceful!,,False,Mon Nov 04 12:06:39 +0000 2019,20619,1191325883774189568
